"Card Title","ID","Owner","Created Date","Updated Date","Images","Card Database (All)","Sets","Stars","Card Type","Planet","Rarities","Card Ability","Banlist?","Power","Health"
"Kazzarak Kreator","949a183c-4d32-466a-8a20-6b41f0507abe","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:45:51Z,"wix:image://v1/c3c13c_24692f945adc4ab1bb0952e841a5d65c~mv2.png/007%20-%20Kazzarak%20Kreator.png#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Teklar""]",4,"Creature","Teklar","{""Base Galaxy: Teklar"":""Common""}","When you play a Kazzarak combiner, you can pay 2 stars to add this killed card to your hand. You can only use 1 Kazzarak Kreator ability per turn.",,170,90
"Barish Sands","949e3b64-94f7-437c-85e6-551eb86f85de","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-08T15:41:28Z,"wix:image://v1/c3c13c_1cbb21ebb506460283be6227e7575486~mv2.jpg/2%2077%20-%20Barish%20Sands.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Baro Planetary Collection""]",,"Attachment",,"{""II - Deep Space Discoveries"":""Common"",""Baro Planetary Collection"":""Common""}","Switch the power and health of the attached creature.",,,
"Ice Berg Face","959a4249-1dcc-4da9-9eda-0589006eac71","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:45:35Z,"wix:image://v1/c3c13c_d1e66f9d056e429196ec6612464d5d47~mv2.jpg/3%2024%20-%20Ice%20Berg%20Face.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide"",""Palicium Planetary Collection""]",5,"Creature ","Palicium","{""III - Galactic Divide"":""Common"",""Palicium Planetary Collection"":""Common""}","You can cost play this creature for 3 stars. If you do, halve its original power & health.",,240,240
"Monument to Creation","95aa5015-ee4f-4668-8147-dc07d51f8174","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_d1c7b4983f7441aa9440e641c8840cdc~mv2.jpg/3%20101%20-%20Monument%20To%20Creation.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Activator",,"{""III - Galactic Divide"":""Common""}","When your opponent draws a card(s) because of a card ability.. you draw 2 cards.",,,
"Shape Knight Squarn","95e1a906-3c78-49da-a517-7520652a9840","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:17:20Z,2024-02-22T04:51:27Z,"wix:image://v1/e6d532_f532377780a044b598174c2e619f363c~mv2.jpg/040%20-%20Shape%20Knight%20Squarn.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sindian Planetary Collection""]",4,"Creature","Sindian",,"This creature's power is 40x its stars. Once per turn, you can kill 1 zoned creature with stars equal to or lower than the combined stars of all zoned Shape Knight creatures, then kill 1 zoned Shape Knight card.",,0,40
"Bubbo","962f3ca4-af97-4ec5-92ee-6bc84132f252","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-23T20:43:24Z,"wix:image://v1/c3c13c_bbb103193992474c846af5936779cae8~mv2.jpg/2%203%20-%20bubbo.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Palicium Planetary Collection"",""Legends of the Cosmos""]",2,"Creature","Palicium","{""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Common"",""Palicium Planetary Collection"":""Common""}",,,110,110
"Inphernix of Sheos","9662c5aa-ddbb-461c-b161-585ad115dafa","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:45:17Z,"wix:image://v1/c3c13c_224b863840bd4635b9a88ef996f3a7eb~mv2.jpg/4%2011%20-%20Inphernix.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",9,"Creature","Sheos","{""IV - Planets United"":""Really Rare""}","This card cannot be free played. If Sheos is your planet card, all your zoned Sheos creatures gain 50 health. When this zoned creature is killed add up to 2 of your killed 4 star Sheos creatures to your hand.","Chaos Beast - You can only have 1 Chaos Beast in your deck",500,300
"Chainek","96a2de64-c3ba-474a-a2ec-7f1e3b4db9c2","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-06T02:20:41Z,"wix:image://v1/06e28e_0b46ca8d13a04d65a186a2f7538aa141~mv2.jpg/016-Chainek.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",4,"Creature","Sindell","{""V - Beyond Horizons"":""Common""}","Only once, you can attach 1 of either player's killed creatures to this zoned creature. Both creatures must have the same stars. This creature’s power & health become that creature’s power & health.",,,
"Ploob","96d9a4b1-38b7-417c-8ac7-500ddafa5757","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:46:54Z,"wix:image://v1/c3c13c_0e4ecc0cf8384ba8936c6adef49e2259~mv2.jpg/2%206%20-%20Ploob.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",3,"Creature","Sindian","{""II - Deep Space Discoveries"":""Common""}","During your turn, if you have no creatures on your planet, you can free play this creature from your hand.",,100,130
"Aeroknight","9706ba82-92bf-413e-ab17-5c39903fba05","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:42:39Z,"wix:image://v1/c3c13c_bd3d277728c94049aaaeea155c2e6d97~mv2.jpg/1%2043%20-%20Aeroknight.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",4,"Creature","Rokah","{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Rare""}",,,190,190
"Kaleidoscope Warriess","981f90d0-3fe0-425c-89ae-027dcb9eff72","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:45:50Z,"wix:image://v1/c3c13c_29724be006cf4de28e4b21129263b8e5~mv2.jpg/3%2046%20-%20kaleidascope%20warriess.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",3,"Creature","Sindian","{""III - Galactic Divide"":""Common""}","After this creature attacks, look at your opponent's hand and kill 1 attachment card in it (if they have any).",,130,40
"Temple Traps","99beb199-3fea-4f7d-bac8-945cefe06136","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-08-24T22:15:22Z,"wix:image://v1/c3c13c_35d1826c5f3c4c78a7804326b4ed9638~mv2.jpg/4%2086%20-%20Temple%20Traps.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Activator",,"{""IV - Planets United"":""Common""}","When your opponent attacks 1 of your zoned Gaios creatures that has a 1 word name... Cancel the attack and kill the attacking creature.",,,
"Wombam","99c910ba-d441-4d3f-9a06-06a6d8d3e438","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-23T20:49:24Z,"wix:image://v1/c3c13c_2103de120e824f3f8f1ae2f448c919e0~mv2.jpg/3%2011%20-%20Wombam.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",3,"Creature","Sheos","{""III - Galactic Divide"":""Common""}","When this creature is killed by an opponent's attack, add 1 battle zone to your planet.",,140,40
"The Mystic Blob","9a093a59-3c06-4f83-8a3c-dac48e4566b8","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-08T15:41:18Z,"wix:image://v1/c3c13c_46baa4cef37f4b20a5df179c8c346b63~mv2.jpg/4%2052%20-%20The%20Mystic%20Blob.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Combiner","No Planet","{""IV - Planets United"":""Rare""}","You can only play 1 The Mystic Blob per turn. Play this card in place of 1 part of any combiner creature. Cancel any abilities the combiner creature would have.",,,
"Super Splot","9a7bdc37-8953-4515-9e90-099b0157c688","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-09T23:59:13Z,"wix:image://v1/c3c13c_a6fffcf0cfbf41eba4c64ae452f64e66~mv2.jpg/d1%2027%20-%20super%20splot.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 1: The Depths of Palicium"",""Legends of the Cosmos""]",,"Activator",,"{""Base Galaxy 1: The Depths of Palicium"":""Common"",""Legends of the Cosmos"":""Common""}","When you play a Palicium creature with 3 or less stars to your planet...Kill 1 resource or attachment card on your opponent's planet.",,,
"Violet Nest","9bf26e80-668c-44d8-ac28-b1cec62ba6bc","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-08T15:41:16Z,"wix:image://v1/c3c13c_6075de632ee44c31af9a1ff46890db25~mv2.png/030-Violet-Nest.png#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection""]",,"Resource",,"{""Baro Planetary Collection"":""Common""}","You can only play this card whilst you have a zoned Boulder Dragon creature. Free play 1 galaxied Boulder Dragon creature which has exactly 2 more stars than it.",,,
"Teklar","9c93d02c-2925-4820-acf7-df9c1b147d15","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-11-21T02:19:24Z,"wix:image://v1/c3c13c_0303bd0bcf534da4a3d00159a067cd94~mv2.jpg/4%2097%20-%20Teklar.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United"",""V - Beyond Horizons""]",,"Planet","Teklar","{""IV - Planets United"":""Planet"",""V - Beyond Horizons"":""Planet""}","Once per turn, when you cost play a Teklar creature, you can look at either the top or 2nd from top card of your galaxy.",,,
"Hydoron of Teklar","9c9b4e24-784b-4d10-94f8-7edb104b6887","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-06T02:31:31Z,"wix:image://v1/06e28e_17d0e63bf9014964b7d59985df9296f4~mv2.jpg/032-Hydoron-of-Teklar.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",9,"Creature","Teklar","{""V - Beyond Horizons"":""Really Rare""}","This card cannot be free played. If Teklar is your planet card, this card can enter 2 battle zones per turn. When this zoned creature is killed, look at your top 5 galaxied cards, free play 1 revealed Teklar creature, return the rest in any order.","Chaos Beast - You can only have 1 Chaos Beast in your deck",350,390
"Icenslice","9cc3a971-2cde-4639-95c6-c28bc7bb148e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:45:34Z,"wix:image://v1/c3c13c_a1579dccf20e4bdfb4eaf340cfd17e3e~mv2.jpg/4%2048%20-%20Icenslice.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",2,"Creature","Palicium","{""IV - Planets United"":""Common""}",,,200,10
"Burning Damacloid","9e56605c-22e6-4ca3-b32c-fddd5e7ea01d","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_c1605adef43c479ca984f96779373538~mv2.jpg/3%20100%20-%20Burning%20Damacloid.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Activator",,"{""III - Galactic Divide"":""Ridiculously Rare""}","When your opponent plays a single use resource... Pay 4 stars and kill that card (if the resource has a cost, it is not paid).",,,
"Bolide Comet","9e98c9dd-cabb-4a11-9697-bc8536972640","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:36Z,2022-04-09T23:46:43Z,"wix:image://v1/c3c13c_2fe2c53a722c4614bcface4129df6d20~mv2.jpg/1%2070%20-%20Bolide%20comet.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Rare""}","Kill 1 permanent resource card on either player's planet.",,,
"Shockafly","9ea2168a-5f5b-48d5-80c0-7a9f3d625a6e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:47:43Z,"wix:image://v1/c3c13c_b4bdfab5c1fa4444b2873e3155f8f272~mv2.jpg/3%20051%20-%20Shockerfly.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",1,"Creature","Sindian","{""III - Galactic Divide"":""Rare""}","When this zoned creature is killed, the turn player's turn automatically ends.",,10,40
"Time Flash Portal","9eb37313-6686-474e-b5c6-6dfe63831477","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_713a5a2c84e840128885f8b4b1228451~mv2.jpg/4%2059%20-%20Time%20Flash%20Portal.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Resource",,"{""IV - Planets United"":""Rare""}","Kill 1 zoned creature, cancel any abilities it has. At the start of your next turn, free play the creature back to the zone it was in (unless that zone is occupied or removed), it then regains any abilities it has.",,,
"Hot Pointato","9ee5cba2-dbde-49da-affd-2eeb5cfc8066","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-08T15:41:20Z,"wix:image://v1/c3c13c_993ddb45cf8e4a2ba31f7541a3c53365~mv2.jpg/3%2077%20-%20Hot%20Pointato.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Permanent Resource",,"{""II - Deep Space Discoveries"":""Common""}","After a resource or activator card is played, this card switches planet (if there is an empty resource zone for it). After 5 turns, kill this card. When this happens, the planet this card is on gains 5 points.",,,
"Bullwarder","9ef349ab-20c0-432c-a209-5c8e12c10674","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-09T23:51:04Z,"wix:image://v1/c3c13c_64d03828b876403ea3f88223d97c50b0~mv2.jpg/1%2073%20-%20Bullwarder.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",,"Permanent Resource",,"{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Rare""}","When a creature on your planet with 5 or less stars would be killed, you can kill this card instead.",,,
"Baby Boulder Dragon","9f1e8ee3-20a2-428a-ba9c-b004bff59b77","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:42:43Z,"wix:image://v1/c3c13c_6855aaeb967946e3ad1f4b1e57fad443~mv2.jpg/D4%202%20-%20Baby%20Boulder%20Dragon.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 4: The Wastelands of Baro""]",2,"Creature","Baro","{""Base Galaxy 4: The Wastelands of Baro"":""Common""}","When this creature in your hand or on your planet is killed whilst you have another boulder dragon creature on your planet, you gain 4 stars.",,70,110
"Diviknight","9f94da87-980d-4c86-8220-4895c7bdcbf2","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:43:45Z,"wix:image://v1/c3c13c_1fc12a5f09414557a7617932940c64d0~mv2.jpg/2%2022%20-%20Diviknight.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",4,"Creature","Sindian","{""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Rare""}",,,200,200
"Matuten Kabonk","a04fca47-4773-440a-aeae-c14f1a559df1","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:46:17Z,"wix:image://v1/c3c13c_a8c050bffd3543ac986e7e4c5ea7fb6b~mv2.jpg/4%2020%20-%20Matuten.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",5,"Creature","Baro","{""IV - Planets United"":""Rare""}","Whilst this creature has a card attached to it, it also becomes a Gaios creature. When this creature is killed by your opponent whilst it has 3 or more different home planets, kill 1 of your opponent's zoned cards.",,220,270
"Rokah","a0cac877-4fcf-444c-a03b-67e27865db7e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-11-02T18:28:08Z,"wix:image://v1/c3c13c_824f18709e3d467e91408cbd1aa53a6e~mv2.jpg/030%20-%20Rokah%20(updated).jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""II - Deep Space Discoveries"",""III - Galactic Divide"",""IV - Planets United"",""V - Beyond Horizons""]",,"Planet","Rokah","{""III - Galactic Divide"":""Planet"",""V - Beyond Horizons"":""Planet"",""IV - Planets United"":""Planet"",""I - The Origin of Chaos"":""Planet"",""II - Deep Space Discoveries"":""Planet""}","At the end of your turn, if you have a zoned Rokah creature, your opponent must permanently reveal 1 random, handed card.",,,
"Gehenna- Gehenna's Sight","a1394742-9fe6-4d5d-969f-ed8489a1beea","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-07-23T04:05:27Z,2022-08-24T22:15:17Z,"wix:image://v1/06e28e_d43531921a85425c95d30917d31b288e~mv2.jpg/2%2049%20-%20Gehenna_Sight.jpg#originWidth=877&originHeight=1216","/card-database-1/","[""II - Deep Space Discoveries""]",,"Combiner","Sindell","{""II - Deep Space Discoveries"":""Common""}","You cannot play attachment cards whilst this creature is on your planet. When you play this creature, attach 1 creature on your opponent's planet to it. Also, whenever a Sindell creature on your planet would be killed, attach it to this card instead. This creature gains 50 power & health for every card attached to it. If this craeture would be killed by an opponent's attack or card ability, you can kill 1 card atttached to this creature instead.",,100,100
"Akopi","a1855c87-a554-4072-853b-424bb0d5b79f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:42:41Z,"wix:image://v1/c3c13c_85cd5f6833364fd1b69774ebb5c8e1fb~mv2.jpg/4%2026%20-%20Akopi.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",3,"Creature","Sindian","{""IV - Planets United"":""Common""}",,,110,200
"Ghatomic Ghrystal","a1b66829-75e1-486f-b035-46a5d8f1566a","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:44:21Z,"wix:image://v1/c3c13c_2a4ac6f0d4da4506a497fe2e389b61ba~mv2.jpg/4%2022%20-%20Ghatomic%20Ghrystal.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",5,"Creature","Sindell","{""IV - Planets United"":""Common""}","If this creature is free played by the ability of Ghi, you can free play 1 of your killed, 4 star or lower ghatomic creatures.",,250,200
"Sistian the Red Rose","a207fa1b-5fe0-42d4-87e3-73f12e0907d9","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-06T02:18:54Z,"wix:image://v1/06e28e_2e84f0e22ea548fa8bd0e8476b18395e~mv2.jpg/040-Sistian-the-Red-Rose.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",4,"Creature","Gaios","{""V - Beyond Horizons"":""Common""}","After this creature is killed by an ability, you can free play 1 killed 3 star or lower Gaios creature.",,100,200
"Cluttar","a26884d7-9dd5-49e4-bd3b-13f25f38cffe","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:45:34Z,"wix:image://v1/06e28e_05f4559d7ee44a40b447511a8e371d1c~mv2.jpg/047-Cluttar.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",2,"Creature","Rokah","{""V - Beyond Horizons"":""Common""}","If this zoned creature is killed by a card ability, you gain 3 stars.",,60,120
"Altar of Alignment","a37d701b-a4ae-4f2f-997c-9b04f271b068","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-06T02:18:09Z,"wix:image://v1/06e28e_b5204d8ee90045dba21afab717eddced~mv2.jpg/091-Altar-of-alignment.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",,"Activator",,"{""V - Beyond Horizons"":""Common""}","When your opponent adds a zone to their planet whilst you have fewer zones on your planet than theirs... Add zones of any type to your planet until both players have an equal number of zones.",,,
